                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.82189,                 2.8039,                0.29308,                0.60076,                 1.0937,                0.95901,                0.80873,                0.91191,                0.68769,                0.70685,                0.54708,                0.48709,                0.29546,                 1.0177,                 4.1724,                0.33476,                0.74845,                 1.2968,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.8146,                 2.7068,                0.28834,                0.59405,                   1.09,                0.94246,                0.81406,                0.91087,                0.68611,                0.77166,                 0.5876,                0.55463,                0.33781,                 1.0094,                 3.9766,                0.34245,                0.73424,                 1.2827,                0.00101,                0.00101,                0.00101
                     53,                0.82321,                 2.7446,                0.28943,                0.59446,                  1.094,                 0.9321,                0.83552,                0.91793,                0.69119,                0.72557,                0.56723,                0.51044,                0.30483,                 1.0208,                 4.0808,                0.33881,                0.73507,                 1.2946,              0.0009902,              0.0009902,              0.0009902
                     54,                0.81448,                 2.7323,                0.28673,                0.58617,                 1.0833,                0.91843,                0.84547,                0.91727,                0.68948,                0.72877,                0.55066,                0.49379,                0.29853,                 1.0181,                  4.179,                0.33671,                0.71861,                 1.2966,              0.0009704,              0.0009704,              0.0009704
                     55,                0.80612,                 2.6423,                 0.2848,                0.58087,                 1.0792,                0.94838,                0.81168,                0.91685,                0.69117,                0.75928,                0.57092,                0.51743,                0.30255,                0.99065,                 3.9967,                0.33417,                0.72247,                 1.2714,              0.0009506,              0.0009506,              0.0009506
                     56,                0.82217,                  2.738,                0.28449,                0.58951,                 1.0888,                 0.9011,                0.85792,                0.91703,                 0.6909,                0.79859,                0.61383,                0.59602,                0.35595,                 1.0014,                 3.6962,                0.33426,                0.71114,                 1.2687,              0.0009308,              0.0009308,              0.0009308
                     57,                0.79665,                   2.69,                0.28438,                0.57803,                 1.0753,                0.93453,                0.82479,                0.91713,                0.69063,                0.77906,                0.61025,                0.56869,                0.34461,                0.98661,                 3.7814,                0.33519,                0.71042,                 1.2557,               0.000911,               0.000911,               0.000911
                     58,                0.79142,                 2.5973,                0.28645,                0.56995,                 1.0757,                0.92983,                0.82127,                0.91582,                0.69756,                0.74326,                0.56138,                0.52622,                0.32596,                0.98263,                 3.9942,                0.32833,                0.70821,                 1.2677,              0.0008912,              0.0008912,              0.0008912
                     59,                0.79833,                 2.6293,                0.28614,                0.57878,                 1.0799,                0.94013,                0.83671,                0.92102,                0.69608,                0.72939,                 0.5447,                0.48478,                0.30326,                0.98771,                 4.2475,                0.32813,                0.71497,                 1.2563,              0.0008714,              0.0008714,              0.0008714
                     60,                0.78971,                 2.6121,                0.28539,                0.57396,                 1.0758,                0.95613,                0.83075,                0.92073,                 0.6932,                0.74587,                0.58164,                0.52813,                0.32023,                0.99494,                 4.0434,                0.33724,                0.69925,                 1.2588,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.7933,                 2.6307,                0.28425,                0.57272,                 1.0818,                 0.9213,                0.84982,                0.92016,                0.69401,                0.75183,                0.58999,                0.54333,                0.33419,                0.97491,                 3.9707,                 0.3395,                0.69832,                 1.2488,              0.0008318,              0.0008318,              0.0008318
                     62,                0.79146,                 2.5782,                0.28102,                0.57068,                 1.0812,                0.91526,                 0.8379,                0.91841,                0.68908,                0.73809,                0.58164,                0.51371,                0.31444,                0.98901,                 4.0152,                0.33442,                0.69645,                 1.2611,               0.000812,               0.000812,               0.000812
                     63,                0.76814,                 2.5465,                0.27887,                0.55152,                 1.0624,                0.91569,                0.84982,                0.92197,                0.69967,                0.71287,                0.56257,                0.50122,                0.31657,                0.98329,                 4.1956,                0.33775,                0.69672,                 1.2523,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.7687,                 2.5339,                0.27453,                0.55594,                 1.0675,                0.93253,                0.84009,                0.92577,                0.70202,                0.72744,                0.58999,                0.51154,                0.32052,                0.99253,                 3.9028,                0.33163,                0.69418,                 1.2743,              0.0007724,              0.0007724,              0.0007724
                     65,                0.77409,                 2.5286,                0.27871,                0.56489,                 1.0706,                0.91666,                0.84148,                0.92177,                0.69991,                0.74466,                0.57688,                0.52791,                0.32901,                0.97653,                 3.9568,                0.33847,                0.69216,                 1.2474,              0.0007526,              0.0007526,              0.0007526
                     66,                0.76897,                 2.4589,                0.27213,                 0.5417,                 1.0618,                0.93667,                0.84614,                0.92944,                0.69853,                0.75965,                0.58403,                0.53559,                0.32521,                0.99663,                 3.9674,                0.33464,                0.67059,                 1.2654,              0.0007328,              0.0007328,              0.0007328
                     67,                0.76653,                 2.4842,                0.27355,                0.55187,                 1.0664,                0.94601,                0.83909,                0.92643,                0.69753,                0.73394,                0.54946,                0.50734,                0.32368,                0.98564,                 4.1797,                0.33601,                0.68849,                 1.2692,               0.000713,               0.000713,               0.000713
                     68,                0.77012,                 2.4911,                0.27393,                0.55593,                 1.0697,                0.93575,                0.85058,                0.92507,                0.69733,                0.75228,                0.60429,                 0.5526,                0.35319,                 0.9873,                 3.8878,                0.33041,                0.70115,                 1.2587,              0.0006932,              0.0006932,              0.0006932
                     69,                0.76224,                 2.4309,                0.27346,                0.54124,                  1.058,                0.92434,                0.85915,                0.92668,                0.69908,                0.75517,                0.59118,                0.53344,                0.33213,                0.98247,                 3.9181,                0.32491,                0.69523,                 1.2616,              0.0006734,              0.0006734,              0.0006734
                     70,                0.75937,                 2.4784,                0.27661,                0.54111,                 1.0592,                0.94812,                0.83909,                0.92872,                 0.7044,                0.76183,                0.58712,                0.54159,                0.33389,                0.94941,                 3.9225,                0.33281,                0.66393,                 1.2336,              0.0006536,              0.0006536,              0.0006536
                     71,                0.74572,                 2.3941,                0.26914,                 0.5336,                 1.0528,                0.93029,                 0.8534,                0.93122,                0.70733,                0.77158,                0.59476,                0.55495,                0.34898,                0.95592,                 3.7626,                 0.3253,                0.67194,                 1.2426,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7445,                 2.4094,                0.27729,                0.53191,                 1.0551,                0.94302,                0.84625,                0.92763,                0.70744,                0.71081,                0.56615,                0.48844,                 0.3067,                0.95538,                 4.2643,                0.33754,                0.66181,                  1.251,               0.000614,               0.000614,               0.000614
                     73,                0.74972,                  2.429,                0.27241,                0.53776,                 1.0529,                0.94143,                0.86174,                0.92781,                  0.708,                0.77425,                0.61317,                0.57663,                0.36496,                0.95074,                 3.7727,                0.32463,                0.65997,                 1.2397,              0.0005942,              0.0005942,              0.0005942
                     74,                0.74013,                 2.2985,                0.27115,                0.52032,                 1.0492,                0.94892,                0.84505,                 0.9259,                0.70562,                0.73341,                0.57054,                0.51488,                 0.3267,                0.96318,                  4.023,                0.32338,                0.66633,                 1.2456,              0.0005744,              0.0005744,              0.0005744
                     75,                0.74509,                 2.3463,                0.27027,                0.53108,                  1.052,                0.93389,                0.84505,                0.92385,                0.70625,                0.78364,                0.64839,                0.61596,                 0.3756,                0.96852,                 3.5966,                0.32551,                0.67901,                 1.2494,              0.0005546,              0.0005546,              0.0005546
                     76,                0.74321,                 2.3458,                0.27211,                0.52735,                 1.0485,                0.94028,                0.84442,                0.92473,                0.70911,                0.74696,                0.62217,                0.57393,                0.36343,                0.93838,                 3.6829,                0.32356,                0.66213,                 1.2276,              0.0005348,              0.0005348,              0.0005348
